order_id,user_id,product_id,order_time,quantity,amount,payment_method,promotion_type,order_status,shipping_city,fulfillment_time,gender,age,user_province_name,product_name,brand,category,price,is_hot,launch_date,product_region_id,product_province_name,product_region_level,description
3000001,145394,200986,2024-05-10 11:14:30,2,848.62,DebitCard,,Delivered,上海市,49,F,38,湖北省,完美日记 丝绒唇釉,完美日记,美妆护肤,424.31,0,2022-08-28 20:37:51,30,西藏自治区,三线,维生素C与维生素C复配，保湿维稳效果加倍；轻薄水雾状上脸舒适，24小时保湿；通过皮肤科测试，无防腐剂配方温和，日常通勤/约会必备。，国货彩妆新锐，性价比之选，品质可靠，售后无忧。
3000002,141598,200889,2024-02-16 18:42:48,1,8442.11,WeChatPay,,Delivered,上海市,47,M,51,海南省,Apple iPad Air,Apple,3C电子,8442.11,1,2023-01-13 15:32:36,33,香港特别行政区,一线,7.9英寸Liquid视网膜屏显示细腻，刷新率高达120Hz，游戏观影体验流畅；天玑9300性能强劲，轻松运行大型应用；1亿像素三摄系统加持，暗光拍摄清晰明亮；蓝牙5.3一应俱全，生活办公好帮手。，iOS生态无缝衔接，极简设计手感出众，品质可靠，售后无忧。
3000003,106791,200262,2024-11-29 14:40:14,1,297.26,DebitCard,,Delivered,天津市,47,Unknown,48,云南省,李宁 中国李宁卫衣,李宁,服装鞋帽,297.26,0,2021-09-19 03:43:59,12,安徽省,二线,专为户外出行打造，牛仔布透气不闷汗；棒球帽型宽松不束缚，水洗工艺确保耐穿；防水防污，多口袋提升时尚感，搭配各种服饰都百搭。，国潮兴起，运动时尚结合，品质可靠，售后无忧。
3000004,194906,200228,2024-12-15 14:47:42,1,444.32,Alipay,,Delivered,杭州市,49,F,23,广东省,Lancôme 持妆粉底液,Lancôme,美妆护肤,444.32,0,2022-06-01 07:42:06,8,吉林省,二线,含玻尿酸核心成分，主打抗初老；质地丝滑膏状，易吸收不黏腻，混合皮适用；坚持使用8小时持妆，肌肤状态明显改善，孕妇可用，敏感肌也能安心用。，法国高端护肤，大牌品质保障，品质可靠，售后无忧。
3000005,181656,200381,2024-11-02 22:45:01,1,5172.36,WeChatPay,Coupon,Shipped,西安市,54,M,49,贵州省,小米 Redmi K70 Pro,小米,3C电子,5747.07,0,2023-10-16 04:48:57,2,上海市,一线,6.7英寸OLED直屏显示细腻，刷新率高达120Hz，游戏观影体验流畅；A17 Pro性能强劲，轻松运行大型应用；4800万超光变主摄系统加持，暗光拍摄清晰明亮；Wi-Fi 6一应俱全，生活办公好帮手。，性价比拉满，MIUI功能丰富，品质可靠，售后无忧。
3000006,131052,200090,2024-09-04 16:32:38,1,183.14,WeChatPay,,Shipped,成都市,39,F,24,云南省,三只松鼠 碧根果,三只松鼠,食品生鲜,183.14,1,2024-06-15 21:23:43,30,西藏自治区,三线,科尔沁牛肉新鲜采摘，低温锁鲜锁鲜；无蔗糖，健康无负担；口感醇厚浓郁，咬一口满满的幸福感；常温密封保存，家庭常备零食/食材。，互联网零食巨头，品质严选，品质可靠，售后无忧。
3000007,124273,200337,2024-06-15 19:08:23,2,547.36,WeChatPay,,Delivered,南京市,39,M,34,浙江省,全棉时代 婴儿湿巾,全棉时代,家居日用,273.68,0,2023-06-19 18:28:16,16,河南省,新一线,精选环保PP材质制作，手工缝制做工精细；30x40cm适配多种空间，浴室均可摆放；防滑耐磨，清洁方便，全家老少都能用。，100%纯棉材质，母婴适用，品质可靠，售后无忧。
3000008,133811,200446,2024-11-16 08:49:20,1,281.21,Cash,,Delivered,天津市,44,M,20,福建省,李宁 羽毛球拍,李宁,服装鞋帽,281.21,0,2021-05-14 16:41:15,21,四川省,新一线,羊毛混纺柔软舒适，精梳棉织造质感出众；oversize修饰身形，日常通勤穿都合适；耐磨耐穿，撞色设计设计贴心，久穿不变形，性价比超高。，国潮兴起，运动时尚结合，品质可靠，售后无忧。
3000009,136622,200636,2024-08-26 22:31:50,1,296.04,Cash,FlashSale,Delivered,杭州市,29,M,34,江西省,李宁 羽毛球拍,李宁,服装鞋帽,370.05,0,2023-04-09 14:18:09,12,安徽省,二线,专为户外出行打造，聚酯纤维透气不闷汗；棒球帽型宽松不束缚，水洗工艺确保耐穿；弹性十足，反光条提升时尚感，搭配各种服饰都百搭。，国潮兴起，运动时尚结合，品质可靠，售后无忧。
3000010,127812,200135,2024-03-03 12:22:02,2,424.94,Alipay,Coupon,Paid,武汉市,47,F,51,福建省,网易严选 日式和风四件套,网易严选,家居日用,236.08,0,2023-09-17 15:06:20,28,内蒙古自治区,二线,天然竹纤维天然环保，无甲醛无异味；70x140cm设计，办公室使用刚好；抗菌防螨，高温烧制确保品质，日常使用便捷耐用，提升生活幸福感。，严选品质，高性价比，品质可靠，售后无忧。
3000011,151062,200607,2024-09-13 04:34:11,1,364.87,Alipay,Coupon,Shipped,深圳市,43,F,34,陕西省,UNIQLO UT印花T恤,UNIQLO,服装鞋帽,405.41,1,2022-06-19 11:31:39,16,河南省,新一线,专为休闲约会打造，100%纯棉透气不闷汗；微喇宽松不束缚，防滑橡胶底确保耐穿；防风保暖，反光条提升时尚感，搭配各种服饰都百搭。，简约百搭，舒适日常穿着，品质可靠，售后无忧。
3000012,114678,200987,2024-09-12 01:56:22,3,13284.99,Alipay,,Delivered,杭州市,54,F,35,陕西省,Apple MacBook Pro,Apple,3C电子,4428.33,0,2022-11-30 03:52:36,8,吉林省,二线,7.9英寸Liquid视网膜屏显示细腻，刷新率高达120Hz，游戏观影体验流畅；天玑9300性能强劲，轻松运行大型应用；5000万莱卡联名系统加持，暗光拍摄清晰明亮；蓝牙5.3一应俱全，生活办公好帮手。，iOS生态无缝衔接，极简设计手感出众，品质可靠，售后无忧。
